size,split,top_k,method,instance_id,Cmax_roll,average_completion_time,average_waiting_time,machine_utilization,load_balance_std,split_task_ratio,total_split_count,inference_time,candidate_size_mean,candidate_size_std,fifo_first_in_candidate_ratio,greedy_first_in_candidate_ratio,lookahead_first_in_candidate_ratio,minload_first_in_candidate_ratio,selected_from_fifo_ratio,selected_from_greedy_ratio,selected_from_lookahead_ratio,selected_from_minload_ratio,is_valid_schedule,num_overlap_violations,num_release_time_violations,num_machine_eligibility_violations,num_split_ratio_violations,num_processing_time_violations,num_completion_time_violations,cmax_check_passed
small,test,3,all_legal_random,small_test_0000_seed_170000,301.9819206887308,159.76799621960456,36.600069805982834,0.5023753311498549,37.681490973278336,0.5416666666666666,14.0,0.008061599975917488,9.541666666666666,6.013728506970992,1.0,1.0,1.0,1.0,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,True,0,0,0,0,0,0,True
small,test,3,hybrid_topk_random,small_test_0000_seed_170000,250.41892068873074,138.41980073223553,18.462403645679277,0.6059177437150364,37.73286417214217,0.5416666666666666,14.0,0.021565800008829683,2.75,0.5951190357119042,1.0,1.0,1.0,1.0,0.5833333333333334,0.20833333333333334,0.25,0.4583333333333333,True,0,0,0,0,0,0,True
small,test,3,fifo_topk_greedy,small_test_0000_seed_170000,267.8689206887307,137.81990911597578,22.26674963227565,0.570918219771122,35.227043613843165,0.5416666666666666,14.0,0.006374100048560649,2.75,0.5951190357119042,1.0,0.4583333333333333,0.4166666666666667,0.6666666666666666,0.20833333333333334,0.4583333333333333,0.4166666666666667,0.5,True,0,0,0,0,0,0,True
small,test,3,greedy_ect_topk_greedy,small_test_0000_seed_170000,267.8689206887307,140.88282904148696,30.60279254845175,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.006736600014846772,2.75,0.5951190357119042,0.375,1.0,1.0,0.5416666666666666,0.20833333333333334,1.0,0.875,0.25,True,0,0,0,0,0,0,True
small,test,3,lookahead_topk_greedy,small_test_0000_seed_170000,253.15992068873072,135.93441656836254,22.068564692405175,0.60883064581004,35.71453228314842,0.5416666666666666,14.0,0.010117299971170723,2.75,0.5951190357119042,0.5,1.0,1.0,0.7916666666666666,0.25,0.9166666666666666,1.0,0.3333333333333333,True,0,0,0,0,0,0,True
small,test,3,hybrid_topk_greedy,small_test_0000_seed_170000,267.8689206887307,140.88282904148696,30.60279254845175,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.017344199994113296,2.7916666666666665,0.6441510347391795,1.0,1.0,1.0,1.0,0.20833333333333334,1.0,0.875,0.25,True,0,0,0,0,0,0,True
small,test,3,hybrid_topk_fifo_select,small_test_0000_seed_170000,253.15992068873072,137.0260823919149,19.74142290821476,0.6070926733891542,36.393310101569284,0.5416666666666666,14.0,0.02018110000062734,2.75,0.5951190357119042,1.0,1.0,1.0,1.0,1.0,0.2916666666666667,0.2916666666666667,0.4583333333333333,True,0,0,0,0,0,0,True
small,test,3,hybrid_topk_lookahead_select,small_test_0000_seed_170000,253.15992068873072,135.93441656836254,22.068564692405175,0.60883064581004,35.71453228314842,0.5416666666666666,14.0,0.0167170999920927,2.75,0.5951190357119042,1.0,1.0,1.0,1.0,0.25,0.9166666666666666,1.0,0.3333333333333333,True,0,0,0,0,0,0,True
small,test,3,hybrid_topk_min_cmax_select,small_test_0000_seed_170000,267.8689206887307,140.88282904148696,30.60279254845175,0.5679263513252868,37.93451721853047,0.5416666666666666,14.0,0.01643420004984364,2.7916666666666665,0.6441510347391795,1.0,1.0,1.0,1.0,0.20833333333333334,1.0,0.875,0.25,True,0,0,0,0,0,0,True
small,test,3,hybrid_topk_oracle_debug,small_test_0000_seed_170000,250.41892068873074,145.8576751712985,28.64610274045287,0.6143952600163837,36.06775965316366,0.5416666666666666,14.0,0.09089120000135154,2.75,0.5951190357119042,1.0,1.0,1.0,1.0,0.625,0.20833333333333334,0.20833333333333334,0.4166666666666667,True,0,0,0,0,0,0,True
